time,group
0.232,1
1.057,1
1.591,1
1.916,2
2.380,2
2.798,3
2.984,2
3.251,2
3.692,3
4.133,3
4.342,2
4.551,3
4.714,2
5.004,2
5.399,3
5.515,2
5.898,3
6.118,2
6.316,3
6.734,3
6.908,2
7.163,3
7.616,3
8.046,3
8.533,2
8.916,3
9.021,2
9.381,2
9.787,3
10.252,2
10.612,4
11.529,3
11.714,2
11.993,2
12.399,3
12.527,2
12.841,3
12.934,2
13.317,3
13.758,2
14.141,3
14.594,3
14.988,3
15.163,2
15.546,2
15.871,3
16.347,2
16.753,3
16.939,2
17.160,2
17.554,3
18.088,2
18.471,3
18.936,2
19.377,3
19.423,2
19.853,2
20.248,3
20.712,3
20.828,2
21.142,3
21.200,2
21.629,2
22.036,3
22.500,2
22.918,3
22.976,2
23.394,2
23.800,3
24.288,2
